name,table_name,data_type,description
thema,abstimmungsvorlagen_seit_1971,categorical,Themen für Abstimmungsvorlagen
anzahl_abstimmungsvorlagen,abstimmungsvorlagen_seit_1971,numeric,Anzahl Abstimmungsvorlagen
