name;table_name;data_type;title;title_en;example_values
aufgabenbereich_cofog_feingliederung;staatsausgaben_nach_aufgabenbereichen_cofog;categorical;Aufgabenbereich des Staates (COFOG Feingliederung);Scope of functions of the state (COFOG narrow);"Alter","Wasserversorgung","Polizei"
aufgabenbereich_cofog_grobgliederung;staatsausgaben_nach_aufgabenbereichen_cofog;categorical;Aufgabenbereich des Staates (COFOG Grobgliederung);Scope of functions of the state (COFOG broad);"Umweltschutz","Bildungswesen","Freizeitgestaltung, Sport, Kultur und Religion"
institutioneller_sektor;staatsausgaben_nach_aufgabenbereichen_cofog;categorical;institutioneller Sektor;institutional sector;"Staat","Kantone","Bund","Gemeinden","Öffentliche Sozialversicherungen"
ausgaben_in_mio_chf;staatsausgaben_nach_aufgabenbereichen_cofog;numeric;Ausgaben in Millionen CHF;Expenditures in millions of CHF;
prozent_der_gesamtausgaben;staatsausgaben_nach_aufgabenbereichen_cofog;numeric;Prozent der Gesamtaugaben;Percent of total expenditure;
