"co_mg_m3";"no2_ug_m3";"no_ug_m3";"nox_ppb";"so2_ug_m3";"o3_ug_m3";"pm10_ug_m3";"pn_1_cm3";"pm2_5_ug_m3";"jahr";"monat";"spatialunit_uid"
"1.35032258064516";"50.1135483870968";"66.6354838709677";"79.6303225806452";"35.0590322580645";"15.4025806451613";NA;NA;NA;"1990";"12";"253_A.ADM3"
"0.407096774193548";"32.0809677419355";"10.7283870967742";"25.378064516129";"2.51516129032258";"64.6851612903226";"18.401935483871";NA;NA;"2005";"5";"253_A.ADM3"
"0.790322580645161";"43.4764516129032";"22.4406451612903";"40.7261290322581";"13.5770967741935";"45.0541935483871";NA;NA;NA;"1995";"3";"253_A.ADM3"
"1.09266666666667";"59.6923333333333";"49.0016666666667";"70.5003333333333";"24.226";"31.487";NA;NA;NA;"1989";"4";"253_A.ADM3"
"0.713548387096774";"41.3577419354839";"32.1777419354839";"47.4270967741936";"9.60741935483871";"28.1029032258065";NA;NA;NA;"1999";"12";"253_A.ADM3"
"1.09354838709677";"38.4167741935484";"54.2258064516129";"63.5651612903226";"15.9183870967742";"17.7970967741935";NA;NA;NA;"1992";"10";"253_A.ADM3"
"0.404193548387097";"44.6438709677419";"12.2635483870968";"33.1770967741936";"4.35967741935484";"80.2083870967742";"30.6325806451613";NA;NA;"2003";"8";"253_A.ADM3"
"1.89586206896552";"58.3941379310345";"160.393103448276";"159.128275862069";"40.0003225806452";"4.09741935483871";NA;NA;NA;"1987";"12";"253_A.ADM3"
"0.455862068965517";"33.7237931034483";"10.4168965517241";"25.9865517241379";"3.26181818181818";"54.338275862069";"18.9772413793103";"11087.505";NA;"2008";"4";"253_A.ADM3"
"0.492";"49.8443333333333";"63.6496666666667";"77.0956666666667";"1.90933333333333";"5.78233333333333";"28.5033333333333";"18418.5836666667";NA;"2016";"12";"253_A.ADM3"
"0.550333333333333";"35.5538709677419";"16.0048387096774";"31.4241935483871";"3.91935483870968";"61.1361290322581";NA;NA;NA;"1999";"7";"253_A.ADM3"
"0.243";"18.9776666666667";"5.104";"14.0163333333333";"0.89";"75.0366666666667";"14.056";"13833.1020833333";"7.91866666666667";"2017";"6";"253_A.ADM3"
"0.270645161290323";"24.2009677419355";"8.64838709677419";"19.5896774193548";"1.56516129032258";"64.2851612903226";"12.5996428571429";"14562.0658064516";NA;"2016";"5";"253_A.ADM3"
"0.31741935483871";"35.4835483870968";"11.3354838709677";"27.6441935483871";"3.80935483870968";"79.181935483871";"22.927";NA;NA;"2003";"7";"253_A.ADM3"
"0.90258064516129";"41.0545161290323";"56.9096774193548";"67.0958064516129";"9.72258064516129";"15.028064516129";NA;NA;NA;"2000";"12";"253_A.ADM3"
"4.65166666666667";"86.3526666666667";"299.152333333333";"284.998666666667";"71.8727586206897";NA;NA;NA;NA;"1984";"11";"253_A.ADM3"
"0.62741935483871";"35.6868965517241";"42.2689655172414";"52.55";"5.14935483870968";"18.8696774193548";"23.0556666666667";NA;NA;"2004";"10";"253_A.ADM3"
"0.909354838709677";"35.9883870967742";"46.9861290322581";"56.4896774193548";"15.0325806451613";"29.501935483871";NA;NA;NA;"1993";"12";"253_A.ADM3"
"1.42870967741935";"44.0325806451613";"73.0712903225807";"81.61";"20.7283870967742";"4.23724137931034";NA;NA;NA;"1996";"1";"253_A.ADM3"
"0.409677419354839";"39.1390322580645";"29.7429032258065";"44.3125806451613";"2.14258064516129";"21.551935483871";"25.2646666666667";NA;NA;"2008";"10";"253_A.ADM3"
"0.40258064516129";"32.7183870967742";"13.0274193548387";"27.5558064516129";"2.97516129032258";"62.9887096774194";"21.8125806451613";NA;NA;"2004";"7";"253_A.ADM3"
"0.329677419354839";"37.0058064516129";"13.1812903225806";"29.9190322580645";"1.61666666666667";"44.5958064516129";"20.5506451612903";"14073.0364516129";"15.4754838709677";"2018";"3";"253_A.ADM3"
"2.027";"75.436";"88.0193333333333";"110.015333333333";"15.1036666666667";NA;NA;NA;NA;"1986";"9";"253_A.ADM3"
"1.76774193548387";"48.9443333333333";"113.08";"116.255333333333";"28.3946666666667";"7.34";NA;NA;NA;"1992";"12";"253_A.ADM3"
"0.425";"36.1266666666667";"11.8693333333333";"28.4076666666667";"4.42466666666667";"57.9016666666667";"19.5323333333333";NA;NA;"2006";"4";"253_A.ADM3"
"0.803214285714286";"45.7957142857143";"27.9878571428571";"46.3875";"14.6725";"33.3635714285714";NA;NA;NA;"1999";"2";"253_A.ADM3"
"0.942333333333333";"41.054";"50.9583333333333";"62.325";"6.19466666666667";"15.8956666666667";"33.523";NA;NA;"2001";"10";"253_A.ADM3"
"0.882258064516129";"45.6329032258065";"22.9841935483871";"42.2903225806452";"7.87677419354839";"63.7683870967742";NA;NA;NA;"1991";"7";"253_A.ADM3"
"0.268";"24.4486666666667";"9.52433333333333";"20.422";"1.24233333333333";"60.996";"16.5534482758621";NA;NA;"2012";"6";"253_A.ADM3"
"0.819";"42.939";"38.0466666666667";"52.9583333333333";"9.856";"28.078";NA;NA;NA;"1995";"9";"253_A.ADM3"
"1.45111111111111";"60.1039285714286";"81.4532142857143";"96.7339285714286";"25.3835714285714";"15.6003571428571";NA;NA;NA;"1998";"2";"253_A.ADM3"
"0.22";"21.2283333333333";"6.27833333333333";"16.1346666666667";"1.14733333333333";"73.8276666666667";"18.2993333333333";"16206.7716666667";"9.16933333333333";"2019";"6";"253_A.ADM3"
"1.07633333333333";"47.8667741935484";"61.7193548387097";"74.5135483870968";"17.5051612903226";"15.9093548387097";NA;NA;NA;"1998";"12";"253_A.ADM3"
"0.560322580645161";"41.9959259259259";"15.2214814814815";"34.1644444444444";"5.06903225806452";"76.8861290322581";NA;NA;NA;"1995";"7";"253_A.ADM3"
"0.583";"39.0506666666667";"40.307";"52.7366666666667";"2.76533333333333";"21.5916666666667";"21.7336";NA;NA;"2009";"11";"253_A.ADM3"
"1.73807692307692";"68.74625";"131.7625";"141.588333333333";"44.3912903225806";"2.10518518518519";NA;NA;NA;"1989";"1";"253_A.ADM3"
"0.356";"24.015";"8.24";"19.1646666666667";"1.094";"68.0013333333333";"15.8596551724138";NA;NA;"2009";"6";"253_A.ADM3"
"0.278064516129032";"27.9861290322581";"13.0309677419355";"25.0809677419355";"0.790322580645161";"31.5335483870968";"18.4677419354839";"13095.3751612903";"14.9374193548387";"2022";"1";"253_A.ADM3"
"0.282258064516129";"21.8454838709677";"12.5787096774194";"21.5090322580645";"1.16290322580645";"29.9690322580645";"11.3058064516129";"12519.5366666667";"8.04161290322581";"2020";"10";"253_A.ADM3"
"0.453548387096774";"36.7525806451613";"28.0087096774194";"41.6738709677419";"1.72290322580645";"19.9935483870968";"21.4741666666667";NA;NA;"2011";"10";"253_A.ADM3"
