name;table_name;data_type;title;title_en;example_values
anteil_sozialhilfeempfanger;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.0384108454,0.0566399639,0.0616651708
anteil_auslander;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.3403313877,0.3193049757,0.3919011668
anteil_personen_ohne_religionszugehorigkeit;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.4882319714,0.4715107751,0.4412121852
anteil_personen_in_einpersonenhaushalten;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.3000205634,0.2883006761,0.2792870645
gymnasialquote_anteil_progymnasium;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.5740740741,0.2924528302,0.3366336634
altersquotient_uber_64_jahr;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.3601476015,0.3394025102,0.2155230596
anteil_sesshafte_10_jahr;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.3055921672,0.3543946745,0.3012512539
jugendquotient_unter_20_jahr;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.2076752768,0.227328973,0.2048743907
baujahr_der_wohngebaude;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;1918.3832335,1939.8939394,1931.8792135
anteil_einfamilienhauser;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.1984602224,0.1363636364,0.029494382
anteil_grunflachen;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.2390179539,0.3585967524,0.1742961539
flache_pro_wohnung_m2;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;82.343801381,69.810768933,70.418289354
wohnflache_pro_person_m2;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;47.311517,39.026379,38.692324
vermogenssteuer_pro_veranlagung;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;2378.931266,483.02681775,460.5646986
einkommenssteuer_pro_veranlagung;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;10820.800512,7123.8581681,7075.5415415
erwerbstatigenquote;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.8077279565,0.7324650618,0.7397509203
arbeitsplatze_pro_einwohner;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.9906581653,0.1403727831,0.6350379648
arbeitslosenquote;basel_stadt_kennzahlen_zu_den_basler_wohnvierteln;numeric;;;0.0252819637,0.0466659488,0.0400550591
