"jahr";"anteil_sozialhilfeempfanger";"anteil_auslander";"anteil_personen_ohne_religionszugehorigkeit";"anteil_personen_in_einpersonenhaushalten";"gymnasialquote_anteil_progymnasium";"altersquotient_uber_64_jahr";"anteil_sesshafte_10_jahr";"jugendquotient_unter_20_jahr";"baujahr_der_wohngebaude";"anteil_einfamilienhauser";"anteil_grunflachen";"flache_pro_wohnung_m2";"wohnflache_pro_person_m2";"vermogenssteuer_pro_veranlagung";"einkommenssteuer_pro_veranlagung";"erwerbstatigenquote";"arbeitsplatze_pro_einwohner";"arbeitslosenquote";"spatialunit_uid"
"2021";"0.0825747342";"0.3832736242";NA;"0.2776773883";"0.297520661";"0.2408271007";"0.3367592647";"0.2573691157";"1937.85310344828";"0.166896551724";"0.3626791795";"68.764107778342";"37.040236116";"484.8";"6575.8";"0.712183";"0.1559287137";NA;"1210_A.ADM4"
"2017";"0.0354745012";"0.2554164087";"0.4744059807";"0.1656778837";"0.5178082192";"0.4871772275";"0.4324555974";"0.3636203402";"1957.2413207";"0.6608400097";"0.7949819327";"102.91804734";"47.59281612";"3322.8178059";"13431.462954";"0.742600131";"0.164020109";"0.0193855888";"1220_A.ADM4"
"2017";"0.1362121633";"0.5166620383";"0.4180783116";"0.2207061471";"0.1379310345";"0.2058579144";"0.3419883366";"0.2901952638";"1937.0229358";"0.0733944954";"0.1181822602";"65.5081529";"31.77527931";"176.09207038";"4410.1190648";"0.6085440815";"0.8199685746";"0.0716586613";"1218_A.ADM4"
"2021";"0.0217168763";"0.2248464463";NA;"0.2114357757";"0.564356436";"0.3602816218";"0.4145949108";"0.2998300558";"1934.42754491018";"0.558083832335";"0.4134138139";"92.74065484311";"46.225749036";"2334.9";"12010.6";"0.7583558";"0.1989834229";NA;"1208_A.ADM4"
"2023";"0.0745019451";"0.3960862902";NA;"0.278339959";"0.2191";"0.2464307883";"0.3338441589";"0.258047353";"1938.24035812672";"0.165289256198";"0.365";"68.852039";"37.311167";"490";"6306.2";"0.7032346";"0.1608849";NA;"1210_A.ADM4"
"2023";"0.0185011202";"0.2340102623";NA;"0.213518682";"0.5277";"0.3652979164";"0.4117944641";"0.3207018399";"1934.63705179283";"0.557370517928";"0.421";"92.548627";"45.936084";"2411.4";"11974.6";"0.7428527";"0.2017745";NA;"1208_A.ADM4"
"2016";"0.0970354771";"0.5493277175";"0.4132512555";"0.2204309919";"0.1728395062";"0.126899017";"0.209460554";"0.2522341376";"1948.6174497";"0.0704697987";"0.1002189053";"69.534114202";"34.063791109";"240.50197771";"5783.2405609";"0.6825391622";"1.0550658217";"0.0665948747";"1216_A.ADM4"
"2015";"0.032510622";"0.2406549864";"0.4588723922";"0.1653416573";"0.5225";"0.4891934634";"0.4338091373";"0.3511685117";"1956.9330085";"0.6613885505";"0.7971970588";"102.9512657";"47.776757";"2958.9716796";"13108.315789";"0.732929437";"0.1599758339";"0.018997877";"1220_A.ADM4"
"2017";"0.0874826741";"0.4340014927";"0.4664676405";"0.2319218603";"0.3695652174";"0.2264596958";"0.3177311014";"0.2515956189";"1932.93083";"0.2476943347";"0.2711033057";"71.778727634";"36.40733945";"550.31399192";"6494.7676276";"0.7007318463";"0.9993926236";"0.050352553";"1211_A.ADM4"
"2017";"0.0440251572";"0.2776071376";"0.4942226123";"0.2907906426";"0.4457831325";"0.3477246208";"0.3571741992";"0.2478413069";"1924.6744659";"0.3682604273";"0.3236973914";"75.034021871";"41.631672598";"3742.5216358";"8734.8026629";"0.7561847968";"0.2952870375";"0.0344512819";"1209_A.ADM4"
"2017";"0.0155299739";"0.2415291051";"0.4768679409";"0.1561637788";"0.6666666667";"0.4294129197";"0.4206125109";"0.3785588062";"1948.5173244";"0.7338787295";"0.714625621";"109.31231437";"49.012147985";"20903.358745";"20531.30534";"0.741483763";"0.1338107448";"0.0251482114";"1207_A.ADM4"
"2017";"0.0721360097";"0.3906043112";"0.4513532122";"0.2741177106";"0.2478632479";"0.2185565454";"0.3108945501";"0.2068548996";"1932.2265077";"0.0294530154";"0.1748682421";"70.457689544";"38.581193803";"526.14626172";"7151.3573948";"0.7515026656";"0.6213669972";"0.0418457558";"1206_A.ADM4"
"2018";"0.0570530099";"0.3286163522";"0.4916891285";"0.2849794239";"0.329787234";"0.3408931083";"0.3470350404";"0.2245077356";"1940.8815592";"0.1349325337";"0.3595967668";"70.004521477";"38.929061785";"512.9425141";"7288.0944151";"0.7402545444";"0.1261629916";"0.0492950163";"1204_A.ADM4"
"2023";"0.0495732799";"0.4078073965";NA;"0.2932595846";"0.2639";"0.2310488451";"0.3114002739";"0.2064369557";"1933.00765483646";"0.028531663187";"0.178";"70.196171";"39.30123";"724.8";"7960";"0.7541674";"0.5969755";NA;"1206_A.ADM4"
"2015";"0.049250056";"0.2244235505";"0.4723528095";"0.1943587987";"0.3105590062";"0.4592964824";"0.4173942243";"0.3364824121";"1940.2349903";"0.6914138154";"0.5877485987";"80.509463371";"39.23069";"670.01187285";"7244.4279969";"0.716425039";"0.3392196911";"0.0335215832";"1215_A.ADM4"
"2015";"0.1276765937";"0.5161210928";"0.4467142506";"0.241082177";"0.2163461538";"0.1651172708";"0.2823037165";"0.2209808102";"1924.8153034";"0.0712401055";"0.1672942887";"67.381836945";"34.554332";"419.03382451";"6202.4897299";"0.6752448448";"0.1882448695";"0.0512705919";"1217_A.ADM4"
"2018";"0.0159529807";"0.241813602";"0.4391267842";"0.1311627907";"0.652173913";"0.4144927536";"0.4265323258";"0.3115942029";"1961.9485531";"0.7909967846";"0.9020116677";"120.82306163";"52.716153128";"15530.157643";"19464.664013";"0.74117237";"0.2878331991";"0.0193855888";"1230_A.ADM4"
"2021";"0.0328556288";"0.2765771163";NA;"0.1635821174";"0.524137931";"0.4675258172";"0.421144806";"0.384569429";"1958.63918757467";"0.656391875746";"0.7946988909";"102.605732725892";"47.186238404";"3325.3";"12494.4";"0.7384675";"0.1604026597";NA;"1220_A.ADM4"
"2020";"0.0265395517";"0.349566263";NA;"0.2374254429";"0.4841269841";"0.437537358";"0.3245727046";"0.3023012552";"1939.0907563";"0.3369747899";"0.3233511533";"93.094584169";"48.31641286";"5913.7621563";"16151.844027";"0.7434271384";"2.312158591";NA;"1205_A.ADM4"
"2021";"0.0567345859";"0.4002646203";NA;"0.2889848104";"0.291666667";"0.2248792999";"0.316644615";"0.2005129753";"1932.71558350804";"0.028651292802";"0.1762109013";"70.286723040711";"39.295213638";"554.9";"7472.3";"0.7627559";"0.5766547817";NA;"1206_A.ADM4"
"2016";"0.0179812466";"0.2311086597";"0.4611141754";"0.1616093504";"0.6241610738";"0.4418511066";"0.4243794815";"0.3820925553";"1948.4359962";"0.7348411935";"0.7148602913";"109.42018349";"49.539984254";"19314.398374";"19364.924846";"0.7368534062";"0.1345701144";"0.0217801474";"1207_A.ADM4"
