"gender";"year";"first_name";"amount";"rank";"spatialunit_uid"
"boy";"2007";"Dan";"0";"0";"24_A.ADM1"
"girl";"2002";"Elizan";"0";"0";"11_A.ADM1"
"girl";"2020";"Gillian";"1";"903";"1_A.ADM1"
"boy";"2007";"Gustave";"0";"0";"24_A.ADM1"
"boy";"2007";"Riccardo";"0";"0";"10_A.ADM1"
"boy";"2003";"Tayron";"0";"0";"8_A.ADM1"
"boy";"2021";"Rory";"0";"0";"11_A.ADM1"
"girl";"2022";"Eleja";"0";"0";"21_A.ADM1"
"girl";"2017";"Ria";"0";"0";"11_A.ADM1"
"boy";"2010";"Vincent";"2";"161";"10_A.ADM1"
"boy";"2008";"Tharun";"0";"0";"12_A.ADM1"
"boy";"2006";"Mikel";"0";"0";"13_A.ADM1"
"boy";"2002";"Albert";"0";"0";"9_A.ADM1"
"boy";"2010";"Arjen";"9";"702";"0_CH"
"girl";"2001";"Mady";"0";"0";"3_A.ADM1"
"girl";"2013";"Yostina";"0";"0";"17_A.ADM1"
"girl";"2016";"Sonia";"0";"0";"14_A.ADM1"
"girl";"2019";"Iara";"1";"114";"9_A.ADM1"
"girl";"2015";"Katalea";"0";"0";"14_A.ADM1"
"boy";"2000";"Nohlan";"0";"0";"2_A.ADM1"
"boy";"2022";"Matías";"1";"134";"24_A.ADM1"
"girl";"2013";"Isa";"0";"0";"21_A.ADM1"
"boy";"2022";"Aydan";"0";"0";"3_A.ADM1"
"girl";"2001";"Lilli";"0";"0";"5_A.ADM1"
"girl";"2014";"Justine";"20";"373";"0_CH"
"boy";"2000";"Tibor";"0";"0";"4_A.ADM1"
"boy";"2012";"Elohim";"0";"0";"5_A.ADM1"
"girl";"2021";"Niki";"0";"0";"10_A.ADM1"
"boy";"2009";"Anuar";"0";"0";"2_A.ADM1"
"boy";"2000";"Darwin";"0";"0";"12_A.ADM1"
"girl";"2000";"Dzana";"0";"0";"13_A.ADM1"
"boy";"2008";"Otis";"0";"0";"14_A.ADM1"
"girl";"2011";"Yousra";"0";"0";"13_A.ADM1"
"girl";"2010";"Naïla";"0";"0";"21_A.ADM1"
"boy";"2019";"Jiro";"0";"0";"11_A.ADM1"
"boy";"2019";"Yule";"0";"0";"7_A.ADM1"
"boy";"2016";"Jace";"0";"0";"20_A.ADM1"
"girl";"2011";"Benedita";"0";"0";"22_A.ADM1"
"boy";"2009";"Valon";"0";"0";"19_A.ADM1"
"girl";"2014";"Olimpia";"0";"0";"16_A.ADM1"
