name;table_name;data_type;title;title_en;example_values
total_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;"Total Anzahl Schadenfalle";"Total number of claims";"796; 681; 857"
total_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;"Total Schadensumme in 1000 CHF";"Total damage amount in 1000 CHF";"18247; 24480; 24074"
feuerzeug_rauchzeug_licht_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"122; 123; 132"
feuerzeug_rauchzeug_licht_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"2095; 2552; 5078"
elektrizitaet_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"234; 246; 228"
vorsatzliche_brandstift_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"5083; 6063; 5374"
vorsatzliche_brandstift_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"14; 22; 25"
brandstift_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"214; 963; 2470"
feuerungsanl_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"67; 65; 47"
feuerungsanl_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"1560; 1231; 792"
explosion_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"26; 21; 25"
explosion_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"782; 1180; 211"
uebrige_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"269; 176; 342"
uebrige_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numerisc;;;"1644; 933; 1734"
unbekannt_anzahl_schadenfalle;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"51; 28; 57"
unbekannt_schaden_1000_chf;aargau_brandversicherung_brandschaden_anzahl_schadensummen;numeric;;;"6751; 1883; 8678"
