"spatialunit_uid","spatialunit_current_id","spatialunit_ontology","name","name_de","name_fr","name_it","country","canton","district","municipal","residence_area","neighborhood","region","zone","spatialunit_hist_id","canton_hist_id","district_hist_id","valid_from","valid_until"
"2456_A.ADM3",2456,Municipality,Lüterswil-Gächliwil,Lüterswil-Gächliwil,Lüterswil-Gächliwil,Lüterswil-Gächliwil,false,false,false,true,false,false,false,false,14067,11,10100,1995-01-01,2999-12-31
"218_A.ADM2",218,District,Amtsbezirk Oberhasli,Amtsbezirk Oberhasli,Amtsbezirk Oberhasli,Amtsbezirk Oberhasli,false,false,true,false,false,false,false,false,10244,2,10244,1994-01-01,2009-12-31
"5557_A.ADM3",5557,Municipality,Fontaines-sur-Grandson,Fontaines-sur-Grandson,Fontaines-sur-Grandson,Fontaines-sur-Grandson,false,false,false,true,false,false,false,false,14751,22,10276,2006-09-01,2999-12-31
"583_A.ADM3",583,Municipality,Isenfluh,Isenfluh,Isenfluh,Isenfluh,false,false,false,true,false,false,false,false,11226,2,10115,1960-01-01,1972-12-31
"5829_A.ADM3",5829,Municipality,Villars-Bramard,Villars-Bramard,Villars-Bramard,Villars-Bramard,false,false,false,true,false,false,false,false,14890,22,10274,2006-09-01,2011-06-30
"5094_A.ADM3",5094,Municipality,Borgnone,Borgnone,Borgnone,Borgnone,false,false,false,true,false,false,false,false,11796,21,10004,1960-01-01,2009-10-24
"2309_A.ADM3",2309,Municipality,Wünnewil-Flamatt,Wünnewil-Flamatt,Wünnewil-Flamatt,Wünnewil-Flamatt,false,false,false,true,false,false,false,false,13232,10,10102,1974-01-01,2999-12-31
"2337_A.ADM3",2337,Municipality,Le Flon,Le Flon,Le Flon,Le Flon,false,false,false,true,false,false,false,false,14482,10,10101,2004-01-01,2999-12-31
"2225_A.ADM2",2225,District,District de Lausanne,District de Lausanne,District de Lausanne,District de Lausanne,false,false,true,false,false,false,false,false,10277,22,10277,2006-09-01,2999-12-31
"2007_A.ADM3",2007,Municipality,Chapelle (Broye),Chapelle (Broye),Chapelle (Broye),Chapelle (Broye),false,false,false,true,false,false,false,false,11434,10,10107,1960-01-01,2004-12-31
"5678_A.ADM3",5678,Municipality,Moudon,Moudon,Moudon,Moudon,false,false,false,true,false,false,false,false,14685,22,10274,2006-09-01,2999-12-31
"662_A.ADM3",662,Municipality,Ferenbalm,Ferenbalm,Ferenbalm,Ferenbalm,false,false,false,true,false,false,false,false,15196,2,10288,2010-01-01,2999-12-31
"5106_A.ADM3",5106,Municipality,Gerra (Gambarogno),Gerra (Gambarogno),Gerra (Gambarogno),Gerra (Gambarogno),false,false,false,true,false,false,false,false,12037,21,10004,1960-01-01,2010-04-24
"6707_A.ADM3",6707,Municipality,Courfaivre,Courfaivre,Courfaivre,Courfaivre,false,false,false,true,false,false,false,false,13278,26,10224,1979-01-01,2012-12-31
"345_A.ADM3",345,Municipality,Wynau,Wynau,Wynau,Wynau,false,false,false,true,false,false,false,false,15028,2,10286,2010-01-01,2999-12-31
"4714_A.ADM3",4714,Municipality,Zezikon,Zezikon,Zezikon,Zezikon,false,false,false,true,false,false,false,false,10317,20,10010,1960-01-01,1994-12-31
"923_A.ADM3",923,Municipality,Buchholterberg,Buchholterberg,Buchholterberg,Buchholterberg,false,false,false,true,false,false,false,false,15322,2,10289,2010-01-01,2999-12-31
"5433_A.ADM3",5433,Municipality,Pizy,Pizy,Pizy,Pizy,false,false,false,true,false,false,false,false,14561,22,10279,2006-09-01,2011-06-30
"3102_A.ADM3",3102,Municipality,Gonten,Gonten,Gonten,Gonten,false,false,false,true,false,false,false,false,14098,16,10252,1997-01-01,2999-12-31
"5885_A.ADM3",5885,Municipality,Jongny,Jongny,Jongny,Jongny,false,false,false,true,false,false,false,false,14642,22,10282,2006-09-01,2999-12-31
"5281_A.ADM3",5281,Municipality,Biasca,Biasca,Biasca,Biasca,false,false,false,true,false,false,false,false,11904,21,10040,1960-01-01,2999-12-31
"1725_A.ADM2",1725,District,Wahlkreis Sarganserland,Wahlkreis Sarganserland,Wahlkreis Sarganserland,Wahlkreis Sarganserland,false,false,true,false,false,false,false,false,10269,17,10269,2003-01-01,2999-12-31
"5636_A.ADM3",5636,Municipality,Etoy,Etoy,Etoy,Etoy,false,false,false,true,false,false,false,false,14703,22,10279,2006-09-01,2999-12-31
"6411_A.ADM3",6411,Municipality,Montalchez,Montalchez,Montalchez,Montalchez,false,false,false,true,false,false,false,false,12349,24,10181,1960-01-01,2017-12-31
"253_A.ADM3",253,Municipality,Zürich,Zürich,Zürich,Zürich,false,false,false,true,false,false,false,false,10327,1,10119,1960-01-01,1989-12-31
"2615_A.ADM3",2615,Municipality,Erschwil,Erschwil,Erschwil,Erschwil,false,false,false,true,false,false,false,false,12274,11,10094,1960-01-01,2999-12-31
