"jahr";"anzahl_veranlagungen";"reineinkommen_mittelwert";"reineinkommen_median";"reineinkommen_gini_koeffizient";"steuerbares_einkommen_mittelwert";"steuerbares_einkommen_median";"ertrag_einkommenssteuer_mittelwert";"ertrag_einkommenssteuer_median";"reinvermogen_mittelwert";"reinvermogen_median";"reinvermogen_gini_koeffizient";"steuerbares_vermogen_mittelwert";"steuerbares_vermogen_median";"ertrag_vermogenssteuer_mittelwert";"ertrag_vermogenssteuer_median";"spatialunit_uid"
"2013";"9693";"51687";"44795";"0.42";"29133";"20309";"6358";"4500";"120287";"9031";"0.849";"86792";"0";"425";"0";"1210_A.ADM4"
"2016";"5122";"125412";"65674";"0.635";"99700";"39065";"22172";"8255";"2549938";"74863";"0.953";"2484491";"0";"18285";"0";"1207_A.ADM4"
"2016";"8075";"79537";"58412";"0.493";"55233";"33468";"11820";"7187";"464497";"45676";"0.85";"408811";"0";"2190";"0";"1208_A.ADM4"
"2019";"4042";"41971";"36478";"0.445";"20387";"10956";"4394";"2332";"65823";"2354";"0.877";"42803";"0";"194";"0";"1218_A.ADM4"
"2009";"1470";"43199";"40213";"0.391";"19913";"13369";"4691";"3138";"56278";"1540";"0.86";"37480";"0";"177";"0";"1219_A.ADM4"
"1996";"5433";"50369";"46800";"0.346";"45069";"42000";"6979";"5566";"95415";"12000";"0.809";"63721";"0";"413";"0";"1204_A.ADM4"
"1996";"11424";"78795";"59000";"0.471";"70625";"52550";"11873";"6724";"443161";"41000";"0.865";"371254";"0";"2964";"0";"1220_A.ADM4"
"2020";"11686";"59627";"48889";"0.449";"37918";"25035";"7960";"5253";"183428";"16755";"0.858";"145694";"0";"725";"0";"1206_A.ADM4"
"1996";"11060";"49070";"45300";"0.379";"43697";"40900";"6899";"5425";"92562";"1000";"0.87";"64677";"0";"444";"0";"1206_A.ADM4"
"2019";"1558";"65589";"45189";"0.531";"45780";"23152";"9851";"4983";"371463";"13484";"0.923";"335213";"0";"2096";"0";"1212_A.ADM4"
"2002";"2454";"46512";"43646";"0.376";"41975";"38813";"6016";"4475";"61020";"948";"0.884";"43611";"0";"256";"0";"1216_A.ADM4"
"1993";"5357";"51128";"47600";"0.328";"45732";"42900";"7064";"5808";"73894";"17000";"0.758";"41691";"0";"241";"0";"1204_A.ADM4"
"2012";"9056";"48648";"38061";"0.492";"27696";"13211";"6172";"2997";"112177";"3292";"0.882";"84436";"0";"412";"0";"1217_A.ADM4"
"2012";"4122";"41688";"37929";"0.416";"19279";"11558";"4413";"2644";"54090";"1000";"0.877";"32879";"0";"157";"0";"1218_A.ADM4"
"1999";"6662";"58921";"46450";"0.476";"52995";"42500";"9414";"5725";"310811";"10000";"0.891";"261916";"0";"2086";"0";"1203_A.ADM4"
"1997";"1399";"46456";"42600";"0.361";"40366";"37000";"5915";"4575";"46629";"0";"0.854";"27217";"0";"165";"0";"1219_A.ADM4"
"1996";"1447";"82419";"55200";"0.549";"74348";"51100";"15349";"8075";"671977";"18000";"0.928";"601519";"0";"5214";"0";"1201_A.ADM4"
"2004";"7945";"70056";"56317";"0.44";"64961";"51763";"10622";"7056";"339879";"33807";"0.848";"302338";"0";"1602";"0";"1208_A.ADM4"
"1996";"4382";"55912";"45850";"0.42";"50166";"41700";"8547";"5547";"213199";"16500";"0.877";"172479";"0";"1321";"0";"1209_A.ADM4"
"2011";"1551";"53496";"41439";"0.481";"33488";"18686";"7510";"4277";"193738";"7728";"0.899";"169981";"0";"870";"0";"1212_A.ADM4"
"1993";"5237";"54694";"49000";"0.353";"48034";"43300";"7545";"5676";"98521";"21000";"0.763";"62160";"0";"373";"0";"1215_A.ADM4"
"2016";"5378";"60768";"52620";"0.412";"35841";"26407";"7795";"5830";"195472";"18501";"0.839";"151515";"0";"771";"0";"1215_A.ADM4"
"1999";"1358";"46200";"42350";"0.367";"40075";"36600";"5759";"4225";"55738";"0";"0.852";"32923";"0";"199";"0";"1219_A.ADM4"
"2012";"5372";"54136";"46611";"0.403";"31080";"22088";"7042";"5039";"128565";"13949";"0.825";"90812";"0";"446";"0";"1204_A.ADM4"
"2003";"5266";"53475";"47725";"0.362";"48904";"43007";"7301";"5448";"116849";"14017";"0.833";"88559";"0";"456";"0";"1204_A.ADM4"
"2018";"6206";"78571";"54998";"0.519";"56268";"31865";"11993";"6697";"440796";"37950";"0.859";"389688";"0";"2095";"0";"1203_A.ADM4"
"2005";"5228";"52630";"47499";"0.367";"47958";"43097";"6840";"5071";"122623";"12683";"0.84";"94863";"0";"462";"0";"1204_A.ADM4"
"2007";"6153";"66969";"50847";"0.495";"62685";"47284";"10375";"6084";"366048";"21262";"0.879";"334387";"0";"1824";"0";"1203_A.ADM4"
"2016";"3363";"54494";"44851";"0.466";"32415";"19933";"6934";"4383";"92875";"3833";"0.884";"66312";"0";"318";"0";"1216_A.ADM4"
"1993";"3874";"48695";"45900";"0.34";"42499";"40000";"6273";"5000";"46185";"1000";"0.84";"25485";"0";"150";"0";"1218_A.ADM4"
