name;table_name;data_type;title;title_en;example_values
anzahl_veranlagungen;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;5433,8141,3226
reineinkommen_mittelwert;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;47514,63915,53985
reineinkommen_median;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;44300,50600,47200
reineinkommen_gini_koeffizient;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;0.334,0.424,0.382
steuerbares_einkommen_mittelwert;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;42282,56532,48135
steuerbares_einkommen_median;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;39900,45200,42000
ertrag_einkommenssteuer_mittelwert;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;6285,9946,7823
ertrag_einkommenssteuer_median;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;5082,6475,5610
reinvermogen_mittelwert;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;32774,149771,89835
reinvermogen_median;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;0,17000,18000
reinvermogen_gini_koeffizient;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;0.91,0.89,0.919
steuerbares_vermogen_mittelwert;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;30636,137175,84603
steuerbares_vermogen_median;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;0,2128,4321
ertrag_vermogenssteuer_mittelwert;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;175,961,591
ertrag_vermogenssteuer_median;basel_stadt_steuerstatistik_kennzahlen_wohnvierteln;numeric;;;0,15,1
