"jahr";"vorlage";"anzahl_stimmberechtigte";"anzahl_abgegebene_stimmen";"beteiligung_in_prozent";"anzahl_gueltige_stimmzettel";"anzahl_ja_stimmen";"anzahl_nein_stimmen";"ja_in_prozent";"spatialunit_uid"
"1989";"Volksinitiative «für eine Schweiz ohne Armee und für eine umfassende Friedenspolitik»";"4320933";"2989326";"69.18";"2956918";"1052442";"1904476";"35.59";"0_CH"
"2022";"Volksinitiative «Ja zum Schutz der Kinder und Jugendlichen vor Tabakwerbung» (Kinder und Jugendliche ohne Tabakwerbung)";"114200";"55519";"48.62";"54790";"35415";"19375";"64.64";"12_A.ADM1"
"1973";"Bundesbeschluss über die Aufhebung des Jesuiten- und des Klosterartikels der Bundesverfassung (Art. 51 und 52)";"146465";"56282";"38.43";"54961";"27883";"27078";"50.73";"12_A.ADM1"
"2002";"Volksinitiative «für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)»";"48217";"35009";"72.61";"34186";"15532";"18654";"45.43";"14_A.ADM1"
"1996";"Bundesbeschluss über den Uebertritt der bernischen Gemeinde Vellerat zum Kanton Jura";"675696";"209090";"30.94";"203877";"180359";"23518";"88.46";"2_A.ADM1"
"2005";"Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz, PartG)";"4836712";"2733838";"56.52";"2687368";"1559848";"1127520";"58.04";"0_CH"
"1952";"Bundesgesetz betreffend die Abänderung von Bestimmungen über die fiskalische Belastung des Tabaks im Bundesgesetz über die Alters- und Hinterlassenenversicherung";"244192";"164378";"67.32";"158943";"88655";"70288";"55.78";"1_A.ADM1"
"1923";"Volksinitiative «zur Wahrung der Volksrechte in der Zollfrage»";"33822";"16593";"49.06";"16548";"9530";"7018";"57.59";"12_A.ADM1"
"1998";"Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel";"675394";"253708";"37.56";"244612";"159901";"84711";"65.37";"2_A.ADM1"
"1972";"Bundesbeschluss über den Schutz der Währung";"289091";"36246";"12.54";"35695";"33581";"2114";"94.08";"22_A.ADM1"
"1978";"Bundesbeschluss über den Konjunkturartikel der Bundesverfassung";"29754";"14689";"49.37";"13970";"9129";"4841";"65.35";"15_A.ADM1"
"1993";"Volksinitiative «für eine Schweiz ohne neue Kampfflugzeuge»";"48762";"37337";"76.57";"36444";"15638";"20806";"42.91";"14_A.ADM1"
"1925";"Bundesbeschluss betreffend Aufenthalt und Niederlassung der Ausländer";"85200";"73744";"86.55";"69636";"42695";"26941";"61.31";"22_A.ADM1"
"2019";"Bundesgesetz über die Steuerreform und die AHV-Finanzierung (STAF)";"180376";"77140";"42.77";"76124";"44576";"31548";"58.56";"11_A.ADM1"
"2010";"Volksinitiative «Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewerb»";"25058";"14514";"57.92";"13958";"2908";"11050";"20.83";"6_A.ADM1"
